City_ID,City,Country,Max Temp,Current Weather Conditions,Lat,Lng,Hotel Name
1,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Jamestown,US,85.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Kudahuvadhoo,MV,82.96,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
33,Hamilton,US,84.9,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
55,Hilo,US,81.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
57,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
58,Nong Kung Si,TH,82.56,overcast clouds,16.65,103.3,บ้าน พี่บิ๊ก
59,Eydhafushi,MV,82.83,overcast clouds,5.1033,73.0708,Soneva Fushi
68,Hithadhoo,MV,83.03,clear sky,-0.6,73.0833,Scoop Guest House
72,Springdale,US,80.71,broken clouds,36.1867,-94.1288,Springdale Inn
73,Port Blair,IN,83.88,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
84,Ibra,OM,80.02,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
86,Trairi,BR,81.03,few clouds,-3.2778,-39.2689,janelas do mar
99,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
107,Cobija,BO,85.35,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
120,Victoria,HK,82.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
133,Makakilo City,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
136,Santa Isabel,BR,80.38,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
140,Anau,PF,80.73,broken clouds,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
149,Faanui,PF,80.8,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
160,Butaritari,KI,82.22,light rain,3.0707,172.7902,Isles Sunset Lodge
163,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
168,Conceicao Do Araguaia,BR,89.73,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
170,Birao,CF,82.06,broken clouds,10.2849,22.7882,
173,Galle,LK,80.42,overcast clouds,6.0367,80.217,Amangalla
177,Asyut,EG,80.78,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
192,Porbandar,IN,84.99,clear sky,21.6422,69.6093,Lords Inn Porbandar
197,Monroe,US,89.22,scattered clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
201,Tutoia,BR,87.78,broken clouds,-2.7619,-42.2744,Pousada Guará's
205,Prainha,BR,85.19,overcast clouds,-1.8,-53.48,Casa Rocha
206,Manggar,ID,81.91,overcast clouds,-2.8833,108.2667,Guest Hotel
209,Acapulco,MX,89.4,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
211,Buchanan,LR,80.56,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
215,Altagracia De Orituco,VE,82.02,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
218,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
223,Aswan,EG,88.2,clear sky,24.0934,32.907,Nuba Nile
232,Hazorasp,UZ,82.24,few clouds,41.3194,61.0742,Kemping wifi hotel
234,Santa Maria Da Vitoria,BR,83.91,overcast clouds,-13.3947,-44.1886,Pousada Rio Current
238,Manzanillo,CU,85.32,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
240,Det Udom,TH,80.04,moderate rain,14.905999999999999,105.0784,Chatsuda Resort
244,Warren,US,84.15,scattered clouds,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
