City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Conditions
0,Tuktoyaktuk,69.4541,-133.0374,33.8,69,90,8.05,CA,2021-06-06 19:45:41,overcast clouds
1,Kapaa,22.0752,-159.319,82.38,76,90,4.0,US,2021-06-06 19:45:41,overcast clouds
2,New Norfolk,-42.7826,147.0587,53.1,82,100,1.01,AU,2021-06-06 19:45:42,overcast clouds
3,Albany,42.6001,-73.9662,92.44,42,59,1.99,US,2021-06-06 19:45:42,broken clouds
4,Pangody,65.85,74.4859,34.12,74,20,8.43,RU,2021-06-06 19:45:42,few clouds
5,Wexford,52.3342,-6.4575,58.55,84,87,2.98,IE,2021-06-06 19:45:43,overcast clouds
6,Jamestown,42.097,-79.2353,85.32,50,1,9.22,US,2021-06-06 19:40:52,clear sky
7,Mount Gambier,-37.8333,140.7667,55.31,71,75,14.97,AU,2021-06-06 19:45:44,broken clouds
8,Saskylakh,71.9167,114.0833,36.36,68,63,4.52,RU,2021-06-06 19:45:44,broken clouds
9,Rikitea,-23.1203,-134.9692,76.86,84,96,15.68,PF,2021-06-06 19:45:45,overcast clouds
10,Bambous Virieux,-20.3428,57.7575,73.65,83,40,11.88,MU,2021-06-06 19:45:45,scattered clouds
11,Homer,59.6425,-151.5483,60.04,71,1,9.22,US,2021-06-06 19:45:45,clear sky
12,Kodiak,57.79,-152.4072,54.32,56,17,6.67,US,2021-06-06 19:45:46,few clouds
13,Cape Town,-33.9258,18.4232,69.12,25,0,10.22,ZA,2021-06-06 19:43:14,clear sky
14,Havre-Saint-Pierre,50.2334,-63.5986,61.16,41,1,14.97,CA,2021-06-06 19:45:46,clear sky
15,Vardo,70.3705,31.1107,43.0,65,20,8.05,NO,2021-06-06 19:45:46,few clouds
16,Vaini,-21.2,-175.2,73.56,88,20,8.05,TO,2021-06-06 19:41:13,few clouds
17,Sambava,-14.2667,50.1667,71.83,88,38,10.47,MG,2021-06-06 19:42:08,scattered clouds
18,Bredasdorp,-34.5322,20.0403,47.52,66,5,6.35,ZA,2021-06-06 19:41:15,clear sky
19,Hermanus,-34.4187,19.2345,67.89,42,0,11.32,ZA,2021-06-06 19:45:47,clear sky
20,Ushuaia,-54.8,-68.3,38.86,81,75,0.0,AR,2021-06-06 19:45:48,broken clouds
21,Thompson,55.7435,-97.8558,62.76,72,75,5.75,CA,2021-06-06 19:43:03,broken clouds
22,Atuona,-9.8,-139.0333,79.66,65,63,7.4,PF,2021-06-06 19:45:48,broken clouds
23,Taormina,37.8536,15.2885,76.86,64,100,4.14,IT,2021-06-06 19:45:49,overcast clouds
24,Puerto Ayora,-0.7393,-90.3518,82.36,88,30,7.0,EC,2021-06-06 19:45:49,scattered clouds
25,Comodoro Rivadavia,-45.8667,-67.5,53.46,43,0,13.8,AR,2021-06-06 19:45:49,clear sky
26,Kaitangata,-46.2817,169.8464,46.42,80,98,1.5,NZ,2021-06-06 19:45:50,overcast clouds
27,Naze,28.3667,129.4833,69.48,91,100,2.98,JP,2021-06-06 19:45:50,overcast clouds
28,Parsabad,39.6482,47.9174,66.52,82,40,11.5,IR,2021-06-06 19:45:51,scattered clouds
29,Shingu,33.7333,135.9833,68.23,82,100,5.1,JP,2021-06-06 19:41:21,overcast clouds
30,Chipinge,-20.1883,32.6236,52.09,87,93,3.8,ZW,2021-06-06 19:45:51,overcast clouds
31,Kudahuvadhoo,2.6708,72.8944,82.96,75,86,14.14,MV,2021-06-06 19:45:51,overcast clouds
32,Quatre Cocos,-20.2078,57.7625,73.51,82,22,11.56,MU,2021-06-06 19:45:52,few clouds
33,Hamilton,39.1834,-84.5333,84.9,65,40,1.99,US,2021-06-06 19:44:24,scattered clouds
34,Stephenville Crossing,48.5,-58.4318,59.13,51,20,17.27,CA,2021-06-06 19:45:52,few clouds
35,Qaanaaq,77.484,-69.3632,40.37,84,40,5.28,GL,2021-06-06 19:45:53,scattered clouds
36,Dunedin,-45.8742,170.5036,44.8,87,95,1.01,NZ,2021-06-06 19:45:53,overcast clouds
37,Oktyabrskiy,54.4815,53.471,55.87,75,6,1.34,RU,2021-06-06 19:41:08,clear sky
38,Neuquen,-38.9516,-68.0591,55.29,47,0,6.91,AR,2021-06-06 19:45:54,clear sky
39,Longyearbyen,78.2186,15.6401,40.84,65,0,19.57,SJ,2021-06-06 19:42:42,clear sky
40,Isangel,-19.55,169.2667,71.6,65,100,10.98,VU,2021-06-06 19:45:54,overcast clouds
41,Provideniya,64.3833,-173.3,37.51,75,0,4.47,RU,2021-06-06 19:45:54,clear sky
42,Busselton,-33.65,115.3333,48.09,74,0,8.03,AU,2021-06-06 19:40:57,clear sky
